muni_PK,codigo_muni,nombre_muni
1216,75238,Islas Malvinas (Falkland)
1217,75364,República Islámica de Irán
1218,75554,Nueva Zelanda
1219,75052,Barbados
1220,75376,Israel
1221,75384,Costa de Marfil
1222,75428,Letonia
1223,75659,San Kitts Y Nevis
1224,75752,Suecia
1225,75796,Islas Turcas Y Caicos
1226,75028,Antigua Y Barbuda
1227,75036,Australia
1228,75258,Polinesia Francesa
1229,75308,Granada
1230,75348,Hungría
1231,75360,Indonesia
1232,75642,Rumania
1233,75678,República Democrática de Santo Tom
1234,75120,Camerún
1235,75254,Guayana Francesa
