muni_PK,codigo_muni,nombre_muni
281,15667,San Luis de Gaceno
282,15673,San Mateo
283,15676,San Miguel de Sema
284,15681,San Pablo de Borbur
285,15686,Santana
286,15690,Santa María
287,15693,Santa Rosa de Viterbo
288,15696,Santa Sofía
289,15720,Sativanorte
290,15723,Sativasur
291,15740,Siachoque
292,15753,Soatá
293,15755,Socotá
294,15757,Socha
295,15759,Sogamoso
296,15761,Somondoco
297,15762,Sora
298,15763,Sotaquirá
299,15764,Soracá
300,15774,Susacón
301,15776,Sutamarchán
302,15778,Sutatenza
303,15790,Tasco
304,15798,Tenza
305,15804,Tibaná
306,15806,Tibasosa
307,15808,Tinjacá
308,15810,Tipacoque
309,15814,Toca
310,15816,Togüí
311,15820,Tópaga
312,15822,Tota
313,15832,Tununguá
314,15835,Turmequé
315,15837,Tuta
316,15839,Tutazá
317,15842,Umbita
318,15861,Ventaquemada
319,15879,Viracachá
320,15897,Zetaquira
321,15999,Sin Información
322,17001,Manizales
323,17013,Aguadas
324,17042,Anserma
325,17050,Aranzazu
326,17088,Belalcázar
327,17174,Chinchiná
328,17272,Filadelfia
329,17380,La Dorada
330,17388,La Merced
331,17433,Manzanares
332,17442,Marmato
333,17444,Marquetalia
334,17446,Marulanda
335,17486,Neira
336,17495,Norcasia
337,17513,Pácora
338,17524,Palestina
339,17541,Pensilvania
340,17614,Riosucio
341,17616,Risaralda
342,17653,Salamina
343,17662,Samaná
344,17665,San José
345,17777,Supía
346,17867,Victoria
347,17873,Villamaría
348,17877,Viterbo
349,17999,Sin Información
350,18001,Florencia
351,18029,Albania
352,18094,Belén de Los Andaquíes
353,18150,Cartagena del Chairá
354,18205,Curillo
355,18247,El Doncello
356,18256,El Paujil
357,18410,La Montañita
358,18460,Milán
359,18479,Morelia
360,18592,Puerto Rico
361,18610,San José del Fragua
362,18753,San Vicente del Caguán
363,18756,Solano
364,18785,Solita
365,18860,Valparaíso
366,18999,Sin Información
367,19001,Popayán
368,19022,Almaguer
369,19050,Argelia
370,19075,Balboa
371,19100,Bolívar
372,19110,Buenos Aires
373,19130,Cajibío
374,19137,Caldono
375,19142,Caloto
376,19212,Corinto
377,19256,El Tambo
378,19290,Florencia
379,19300,Guachené
380,19318,Guapi
381,19355,Inzá
382,19364,Jambaló
383,19392,La Sierra
384,19397,La Vega
385,19418,López
386,19450,Mercaderes
387,19455,Miranda
388,19473,Morales
389,19513,Padilla
390,19517,Paéz
391,19532,Patía
392,19533,Piamonte
393,19548,Piendamó
394,19573,Puerto Tejada
395,19585,Puracé
396,19622,Rosas
397,19693,San Sebastián
398,19698,Santander de Quilichao
399,19701,Santa Rosa
400,19743,Silvia
401,19760,Sotará
402,19780,Suárez
403,19785,Sucre
404,19807,Timbío
405,19809,Timbiquí
406,19821,Toribío
407,19824,Totoró
408,19845,Villa Rica
409,19999,Sin Información
410,20001,Valledupar
411,20011,Aguachica
412,20013,Agustín Codazzi
413,20032,Astrea
414,20045,Becerril
415,20060,Bosconia
416,20175,Chimichagua
417,20178,Chiriguaná
418,20228,Curumaní
419,20238,El Copey
420,20250,El Paso
421,20295,Gamarra
422,20310,González
423,20383,La Gloria
